2013-12-29,18:30,18:45,00.25,-----,m,うらっちの家へ行く
2013-12-29,18:45,23:00,04.25,-----,y,うらっちの家で遊ぶ　芝君　西君
2013-12-29,23:00,30:00,07.00,-----,j,寝る
2013-12-28,--:--,06:00,06.00,-----,j,寝る
2013-12-28,06:00,08:00,02.00,-----,w,年賀状を作る
2013-12-28,08:00,08:10,00.17,-----,j,ごはん
2013-12-28,08:10,09:00,00.83,-----,e,準備
2013-12-28,09:00,09:30,00.50,-----,m,出勤
2013-12-28,09:30,09:40,00.17,-----,w,清掃
2013-12-28,09:40,09:50,00.17,-----,y,朝礼
2013-12-28,09:50,10:00,00.17,-----,w,生徒さん迎え入れ
2013-12-28,10:00,11:30,01.50,-----,w,itunesのPOPを作る
2013-12-28,11:30,12:10,00.67,-----,w,教室用POPを貼る
2013-12-28,12:10,12:40,00.50,-----,j,ごはん
2013-12-28,12:40,13:00,00.33,-----,w,清掃
2013-12-28,13:00,14:00,01.00,-----,w,販促
2013-12-28,14:00,17:00,03.00,-----,w,受講
2013-12-28,17:00,18:00,01.00,-----,w,阿野さんの生徒対応
2013-12-28,18:00,18:30,00.50,-----,w,大掃除
2013-12-28,18:30,19:00,00.50,-----,w,終礼　ミーティング
2013-12-28,19:00,20:00,01.00,-----,m,帰宅
2013-12-28,20:00,20:30,00.50,-----,j,ごはん
2013-12-28,20:30,22:00,01.50,-----,g,ニコニコ動画
2013-12-28,22:00,24:00,02.00,-----,i,ダウンロード
2013-12-28,24:00,26:30,02.50,-----,g,カードコマンダー
2013-12-28,26:30,28:00,01.50,-----,w,年賀状を作る
2013-12-28,28:00,28:30,00.50,-----,w,年賀状を出す
2013-12-28,28:30,30:30,02.00,-----,g,動画”金田一耕助 vs 明智小五郎”を見る
2013-12-28,30:30,30:45,00.25,-----,g,風呂
2013-12-28,30:45,35:30,04.75,-----,j,寝る
2013-12-27,--:--,06:50,06.83,-----,j,寝る
2013-12-27,06:50,07:10,00.33,-----,a,日記を書く
2013-12-27,07:10,07:30,00.33,-----,t,タスクシュート
2013-12-27,07:30,07:45,00.25,-----,r,ジョギング
2013-12-27,07:45,08:00,00.25,-----,j,ごはん
2013-12-27,08:00,08:15,00.25,-----,e,準備
2013-12-27,08:15,09:15,01.00,-----,m,出勤（橋本生花に電話）
2013-12-27,09:15,09:40,00.42,-----,w,清掃
2013-12-27,09:40,10:00,00.33,-----,y,朝礼
2013-12-27,10:00,10:10,00.17,-----,y,生徒さん受け入れ
2013-12-27,10:10,10:40,00.50,-----,w,チラシ折り込み
2013-12-27,10:40,10:40,00.00,-----,w,販促
2013-12-27,10:40,12:20,01.67,-----,w,生徒対応
2013-12-27,12:20,13:15,00.92,-----,j,ごはん
2013-12-27,13:15,13:45,00.50,-----,y,生徒さん受け入れ
2013-12-27,13:45,14:57,01.20,-----,y,フジグラン石井にお礼のFAX
2013-12-27,14:57,16:00,01.05,-----,w,チラシ折り込み　1000枚
2013-12-27,16:00,16:30,00.50,-----,w,入金・両替
2013-12-27,16:30,18:30,02.00,-----,j,休憩
2013-12-27,18:30,19:00,00.50,-----,w,販促
2013-12-27,19:00,19:30,00.50,-----,w,★のPOPを作成する
2013-12-27,19:30,20:30,01.00,-----,w,itunes　POP作成
2013-12-27,20:30,21:00,00.50,-----,w,退勤準備
2013-12-27,21:00,22:00,01.00,-----,m,帰宅
2013-12-27,22:00,22:30,00.50,-----,j,ごはん
2013-12-27,22:30,24:00,01.50,-----,g,ネット
2013-12-27,24:00,25:00,01.00,-----,g,風呂
2013-12-27,25:00,30:00,05.00,-----,j,寝る
2013-12-26,--:--,07:30,07.50,-----,j,寝る
2013-12-26,07:30,07:45,00.25,-----,a,日記を書く
2013-12-26,07:45,08:00,00.25,-----,t,タスクシュート
2013-12-26,08:00,08:20,00.33,-----,r,ジョギング
2013-12-26,08:20,08:40,00.33,-----,j,ごはん
2013-12-26,08:40,09:00,00.33,-----,e,準備
2013-12-26,09:00,09:10,00.17,-----,m,鶴羽駅へ
2013-12-26,09:10,10:30,01.33,-----,m,福井先生に本社へ連れて行ってもらう
2013-12-26,10:30,11:00,00.50,-----,w,大和先生の授業を学ぶ
2013-12-26,11:00,11:15,00.25,-----,w,本社　備品を頂く　社長に道の案内をしていただいた
2013-12-26,11:15,12:00,00.75,-----,m,フジグラン石井へ
2013-12-26,12:00,13:00,01.00,-----,j,ごはん
2013-12-26,13:00,14:00,01.00,-----,w,販促準備
2013-12-26,14:00,15:00,01.00,-----,w,販促
2013-12-26,15:00,16:00,01.00,-----,w,販促準備
2013-12-26,16:00,16:50,00.83,-----,k,福井先生と説明会の流れを確認する
2013-12-26,16:50,17:00,00.17,-----,j,休憩
2013-12-26,17:00,18:30,01.50,-----,k,説明会、福井先生が説明されているものを見る
2013-12-26,18:30,18:50,00.33,-----,k,自分で説明をやってみる　岩村先生に注意していただく
2013-12-26,18:50,19:45,00.92,-----,w,退勤準備
2013-12-26,19:45,21:00,01.25,-----,w,福井先生と帰宅
2013-12-26,21:00,21:30,00.50,-----,j,ごはん
2013-12-26,21:30,24:00,02.50,-----,g,ニコニコ動画
2013-12-26,24:00,25:00,01.00,-----,g,カードコマンダー
2013-12-26,25:00,25:30,00.50,-----,g,ニコニコ動画
2013-12-26,25:30,26:00,00.50,-----,g,風呂
2013-12-26,26:00,30:50,04.83,-----,j,寝る
