w,x,y
00,612,403
1,651,453
2,678,488
3,697,523
4,680,566
5,651,598
6,612,607
7,569,598
8,540,566
9,530,523
10,543,488
11,569,453
12,612,440
13,671,422
14,716,464
15,732,526
16,716,586
17,671,628
18,613,647
19,552,629
20,507,583
21,492,523
22,507,464
23,550,419
